animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_cond,intake_type,intake_subtype,reason,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A721918,,WILD,GRAY,BLACK,Unknown,,2024-05-30,INJURED  MODERATE,WILDLIFE,FIELD,,2024-05-30,",.5000 AIRPORT PLAZA DR, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,LBAH,33.8071004,-118.1345647,Alive on Intake,FALSE,1,"{'lon': -118.1345647, 'lat': 33.8071004}"
A707681,,CAT,GRAY TABBY,,Unknown,2023-03-27,2023-09-27,INJURED  MODERATE,STRAY,FIELD,,2023-09-27,0 BLK E LOUISE,LONG BEACH,EUTHANASIA,INJ SEVERE,33.8550845,-118.1969706,Alive on Intake,TRUE,0,"{'lon': -118.1969706, 'lat': 33.8550845}"
A593145,,CAT,GRAY,,Female,2017-05-08,2017-07-08,FERAL,STRAY,FIELD,,2017-07-24,"0 BLK E MARKET ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,CATPAWS,33.8542837,-118.1964921,Alive on Intake,FALSE,1,"{'lon': -118.1964921, 'lat': 33.8542837}"
A608487,*TAYLOR,CAT,GRAY,,Spayed,2017-05-27,2018-05-27,NORMAL,OWNER SURRENDER,OTC,,2018-06-08,"0 BLK W HOME ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,33.8479781,-118.1957802,Alive on Intake,FALSE,1,"{'lon': -118.1957802, 'lat': 33.8479781}"
A738924,KITTEN 4,CAT,CALICO,,Female,2025-02-03,2025-04-03,NORMAL,STRAY,OTC,,2025-04-06,"00 BLK 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8523872,-118.1958567,Alive on Intake,FALSE,1,"{'lon': -118.1958567, 'lat': 33.8523872}"
A738921,KITTEN 1,CAT,TORTIE DIL,,Female,2025-02-03,2025-04-03,NORMAL,STRAY,OTC,,2025-04-06,"00 BLK 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8523872,-118.1958567,Alive on Intake,FALSE,1,"{'lon': -118.1958567, 'lat': 33.8523872}"
A738923,KITTEN 3,CAT,CALICO,,Female,2025-02-03,2025-04-03,NORMAL,STRAY,OTC,,2025-04-06,"00 BLK 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8523872,-118.1958567,Alive on Intake,FALSE,1,"{'lon': -118.1958567, 'lat': 33.8523872}"
A673343,CHOO CHOO,DOG,BLACK,BROWN,Male,2020-04-20,2023-03-01,NORMAL,STRAY,OTC,,2023-04-15,"00 BLK 65TH ST, LONG BEACH",LONG BEACH,RESCUE,GISSELLES,33.7471327,-118.1214077,Alive on Intake,FALSE,1,"{'lon': -118.1214077, 'lat': 33.7471327}"
A737259,*SHERBERT,CAT,ORG TABBY,WHITE,Neutered,2020-02-25,2025-02-23,NORMAL,STRAY,OTC,,2025-03-01,"00 BLK ANGELO WALK, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,WEB,33.7523907,-118.1196922,Alive on Intake,FALSE,1,"{'lon': -118.1196922, 'lat': 33.7523907}"
A656107,,BIRD,WHITE,,Unknown,,2021-04-10,NORMAL,STRAY,FIELD,,2021-04-16,"00 BLK BELMONT AVE, LONG BEACH, CA  90803",LONG BEACH,TRANSFER,OTHER RESC,33.7597099,-118.1451309,Alive on Intake,FALSE,1,"{'lon': -118.1451309, 'lat': 33.7597099}"
